%Grade,%HV,Cap 
0,0,1924
0,0,1928
0,0,1884
0,0,1856
0,0,1944
0,0,1944
0,5,1916
0,5,1896
0,5,1940
0,5,1880
0,5,1908
0,5,1900
0,10,1920
0,10,1912
0,10,1912
0,10,1888
0,10,1924
0,10,1940
0,15,1860
0,15,1932
0,15,1892
0,15,1868
0,15,1884
0,15,1828
0,20,1912
0,20,1928
0,20,1900
0,20,1860
0,20,1832
0,20,1892
2,0,1944
2,0,1936
2,0,1896
2,0,1924
2,0,1936
2,0,1928
2,5,1940
2,5,1948
2,5,1924
2,5,1944
2,5,1848
2,5,1900
2,10,1924
2,10,1968
2,10,1864
2,10,1892
2,10,1876
2,10,1932
2,15,1940
2,15,1936
2,15,1880
2,15,1884
2,15,1880
2,15,1892
2,20,1860
2,20,1828
2,20,1892
2,20,1868
2,20,1944
2,20,1884
4,0,1920
4,0,1916
4,0,1896
4,0,1948
4,0,1888
4,0,1908
4,5,1964
4,5,1840
4,5,1908
4,5,1908
4,5,1888
4,5,1896
4,10,1928
4,10,1876
4,10,1936
4,10,1896
4,10,1924
4,10,1868
4,15,1924
4,15,1924
4,15,1956
4,15,1876
4,15,1904
4,15,1876
4,20,1908
4,20,1968
4,20,1932
4,20,1884
4,20,1888
4,20,1948
6,0,1880
6,0,1884
6,0,1892
6,0,1940
6,0,1884
6,0,1932
6,5,1840
6,5,1920
6,5,1744
6,5,1920
6,5,1924
6,5,2012
6,10,1932
6,10,1832
6,10,1876
6,10,1812
6,10,1884
6,10,1956
6,15,1888
6,15,1916
6,15,1884
6,15,1896
6,15,1896
6,15,1944
6,20,1900
6,20,1872
6,20,1852
6,20,1884
6,20,1860
6,20,1840
8,0,1852
8,0,1964
8,0,1952
8,0,1908
8,0,1912
8,0,1908
8,5,1832
8,5,1804
8,5,1960
8,5,1872
8,5,1804
8,5,1664
8,10,1804
8,10,1808
8,10,1840
8,10,1832
8,10,1800
8,10,1828
8,15,1760
8,15,1764
8,15,1740
8,15,1820
8,15,1824
8,15,1788
8,20,1716
8,20,1768
8,20,1776
8,20,1756
8,20,1776
8,20,1752
